"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"main_menu_change_server","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER","CHANGE SERVER",
"menu_back","Back","Back","Back","Back","Back","Back","Back","Back","Back","Back","Back","Back",
"early_access_alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha","Early Access Alpha",
"menu_default","Default","Default","Default","Default","Default","Default","Default","Default","Default","Default","Default","Default",
"menu_reset","Reset","Reset","Reset","Reset","Reset","Reset","Reset","Reset","Reset","Reset","Reset","Reset",
"menu_apply","Apply","Apply","Apply","Apply","Apply","Apply","Apply","Apply","Apply","Apply","Apply","Apply",
"menu_random","Random","Random","Random","Random","Random","Random","Random","Random","Random","Random","Random","Random",
"menu_random_capital","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM","RANDOM",
"early_access_alpha_understand","I Understand","I UNDERSTAND","I Understand","I Understand","I Understand","I Understand","I Understand","I Understand","I Understand","I Understand","I Understand","I Understand",
"early_access_header","Early Access Game","THIS IS AN EARLY ACCCESS ALPHA GAME","Early Access Game","Early Access Game","Early Access Game","Early Access Game","Early Access Game","Early Access Game","Early Access Game","Early Access Game","Early Access Game","Early Access Game",
"menu_enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable",
"menu_warning","Warning","Warning","Warning","Warning","Warning","Warning","Warning","Warning","Warning","Warning","Warning","Warning",
"main_menu_continue","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE","CONTINUE",
"menu_enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled",
"menu_yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",
"menu_disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable",
"menu_remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove",
"early_access_text","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access!
 
DayZ is in the Alpha phase of development, and will stay that way for some time. This means you will experience bugs, unfinished features, problematic design decisions, and many more things that disrupt your game experience.
 
We will be working with the community to fix these. To help us, please visit www.dayz.com/dev-hub for the latest development information. Above all, please remember that DayZ is not finished, and is still work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.","Thank you for participating in the DayZ Early Access! This game is in Alpha, and will be so for some time. This means you will experience bugs, unfinished features, problematic design decision, and many more things that disrupt your game experience. We will be working with the community to fix these, to help us please visit dayzgame.com for development information. Above all, please remember this game is not finished, and is a work in progress.",
"menu_disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled",
"menu_add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add",
"menu_test_settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings","Test Settings",
"menu_cancel","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL",
"menu_restart_needed","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.","You need to restart the game to apply some of the changes made.",
"menu_no","No","No","No","No","No","No","No","No","No","No","No","No",
"menu_ok","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",
"menu_introductionVideo","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO","INTRODUCTION VIDEO",
"menu_tutorials","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS","TUTORIALS",
"server_browser_servers","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser","Server Browser",
"server_browser_tab_internet","Internet","Internet","Internet","Internet","Internet","Internet","Internet","Internet","Internet","Internet","Internet","Internet",
"server_browser_tab_official","Official","Official","Official","Official","Official","Official","Official","Official","Official","Official","Official","Official",
"multi_enter_server_address_edit_label","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:",
"multi_enter_server_host_label","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address","Host IP Address",
"server_browser_tab_community","Community","Community","Community","Community","Community","Community","Community","Community","Community","Community","Community","Community",
"server_browser_tab_favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite",
"server_browser_tab_history","History","History","History","History","History","History","History","History","History","History","History","History",
"server_browser_tab_remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote",
"server_browser_tab_lan","LAN","LAN","LAN","LAN","LAN","LAN","LAN","LAN","LAN","LAN","LAN","LAN",
"multi_enter_server_host_message","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port","Enter Host IP address and port",
"server_browser_tab_friends","Friends","Friends","Friends","Friends","Friends","Friends","Friends","Friends","Friends","Friends","Friends","Friends",
"multi_enter_server_password_edit_label","Password:","Password:","Password:","Password:","Password:","Password:","Password:","Password:","Password:","Password:","Password:","Password:",
"multi_enter_server_password_label","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER",
"multi_enter_server_password_message","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password","Enter game password",
"multi_enter_server_port_edit_label","Port:","Port:","Port:","Port:","Port:","Port:","Port:","Port:","Port:","Port:","Port:","Port:",
"multi_server_not_compatible_message","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server",
"multi_server_password_invalid_message","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password","You entered a invalid password",
"server_browser_column_host","Host","Host","Host","Host","Host","Host","Host","Host","Host","Host","Host","Host",
"server_browser_column_pass","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD","PASSWORD",
"server_browser_acc_time_filter","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time","Accelerated Time",
"server_browser_add_favorite","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites","Add To Favorites",
"server_browser_column_version","VERSION","VERSION","VERSION","VERSION","VERSION","VERSION","VERSION","VERSION","VERSION","VERSION","VERSION","VERSION",
"server_browser_column_mode","MODE","MODE","MODE","MODE","MODE","MODE","MODE","MODE","MODE","MODE","MODE","MODE",
"server_browser_column_time","Time","Time","Time","Time","Time","Time","Time","Time","Time","Time","Time","Time",
"server_browser_column_hive","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE",
"server_browser_agree","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE",
"server_browser_column_players","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS","PLAYERS",
"server_browser_agree_battleye_license","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.","This server is using BattlEye anti-cheat. To connect you will need to agree to the BattlEye license.",
"server_browser_refresh","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List","Refresh List",
"server_browser_column_popularity","Pop.","Pop.","Pop.","Pop.","Pop.","Pop.","Pop.","Pop.","Pop.","Pop.","Pop.","Pop.",
"server_browser_filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter","Filter",
"server_browser_remove_favorite","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites","Remove From Favorites",
"server_browser_column_slots","Slots","Slots","Slots","Slots","Slots","Slots","Slots","Slots","Slots","Slots","Slots","Slots",
"server_browser_column_ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping",
"server_browser_battleye_filter","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected","BattlEye protected",
"server_browser_details","Details","Details","Details","Details","Details","Details","Details","Details","Details","Details","Details","Details",
"server_browser_char_restrict","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character","Restrict to selected character",
"server_browser_connect","Connect","Connect","Connect","Connect","Connect","Connect","Connect","Connect","Connect","Connect","Connect","Connect",
"server_browser_column_friends","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS","FRIENDS",
"server_browser_wrong_password","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.",
"server_browser_wrong_version","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.","Bad version, server rejected connection.",
"server_browser_connect_label","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT","CONNECT",
"server_browser_collapse","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details","Collapse all server details",
"server_browser_wrong_connect_error","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.","Connecting failed.",
"server_browser_disagree","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE",
"server_browser_expand","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details","Expand all server details",
"server_browser_favorite_filter","Favorited","Favorited","Favorited","Favorited","Favorited","Favorited","Favorited","Favorited","Favorited","Favorited","Favorited","Favorited",
"server_browser_filter_reset","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters","Reset Filters",
"server_browser_friend_filter","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing","Friends playing",
"server_browser_full_servers_filter","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers","Full Servers",
"server_browser_license","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE","LICENSE",
"server_browser_name_filter_default","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name","Full-Text Server name",
"server_browser_no_steam_friends","none","none","none","none","none","none","none","none","none","none","none","none",
"server_browser_session_full","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.","Maximum number of players has been reached.",
"server_browser_steam_friends_text","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends","Steam friends",
"server_browser_version_filter","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match","Proper version match",
"server_browser_password_default","Server password...","Server password...","Server password...","Server password...","Server password...","Server password...","Server password...","Server password...","Server password...","Server password...","Server password...","Server password...",
"server_browser_password_filter","Passworded","Passworded","Passworded","Passworded","Passworded","Passworded","Passworded","Passworded","Passworded","Passworded","Passworded","Passworded",
"server_browser_third_person_filter","Third Person","Third Person","Third Person","Third Person","Third Person","Third Person","Third Person","Third Person","Third Person","Third Person","Third Person","Third Person",
"server_browser_ping_filter","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping","Ping",
"server_browser_prev_play_filter","Previously played","Previously played","Previously played","Previously played","Previously played","Previously played","Previously played","Previously played","Previously played","Previously played","Previously played","Previously played",
"server_browser_public_filter","Public","Public","Public","Public","Public","Public","Public","Public","Public","Public","Public","Public",
"servers_count","servers found","servers found","servers found","servers found","servers found","servers found","servers found","servers found","servers found","servers found","servers found","servers found",
"server_browser_remote_default","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]","IP address[:port]",
"server_details_header","Server Details","Server Details","Server Details","Server Details","Server Details","Server Details","Server Details","Server Details","Server Details","Server Details","Server Details","Server Details",
"server_details_name","Name:","Name:","Name:","Name:","Name:","Name:","Name:","Name:","Name:","Name:","Name:","Name:",
"server_details_address","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:","Address:",
"server_details_shard","Shard:","Shard:","Shard:","Shard:","Shard:","Shard:","Shard:","Shard:","Shard:","Shard:","Shard:","Shard:",
"server_details_character_alive","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:","Character alive:",
"server_details_character_none","none","none","none","none","none","none","none","none","none","none","none","none",
"server_details_version","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:",
"server_details_hive","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:",
"server_details_mode","Mode:","Mode:","Mode:","Mode:","Mode:","Mode:","Mode:","Mode:","Mode:","Mode:","Mode:","Mode:",
"server_details_current_time","Current time:","Current time:","Current time:","Current time:","Current time:","Current time:","Current time:","Current time:","Current time:","Current time:","Current time:","Current time:",
"server_details_friends","Friends:","Friends:","Friends:","Friends:","Friends:","Friends:","Friends:","Friends:","Friends:","Friends:","Friends:","Friends:",
"server_details_ip","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:",
"server_details_last_played","Last played:","Last played:","Last played:","Last played:","Last played:","Last played:","Last played:","Last played:","Last played:","Last played:","Last played:","Last played:",
"server_details_time_multiplier","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:","Time multiplier:",
"server_details_ping","Ping:","Ping:","Ping:","Ping:","Ping:","Ping:","Ping:","Ping:","Ping:","Ping:","Ping:","Ping:",
"server_details_players","Players:","Players:","Players:","Players:","Players:","Players:","Players:","Players:","Players:","Players:","Players:","Players:",
"server_details_popularity_full","Full","Full","Full","Full","Full","Full","Full","Full","Full","Full","Full","Full",
"server_details_popularity_high","High","High","High","High","High","High","High","High","High","High","High","High",
"server_details_popularity_low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low",
"server_details_popularity_medium","Medium","Medium","Medium","Medium","Medium","Medium","Medium","Medium","Medium","Medium","Medium","Medium",
"server_filter_filter_settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings","Filter Settings",
"server_filter_host","Host:","Host:","Host:","Host:","Host:","Host:","Host:","Host:","Host:","Host:","Host:","Host:",
"server_filter_version","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:",
"server_filter_battle_eye","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:","BattlEye Required:",
"server_filter_max_players","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:","Max. Players:",
"server_filter_min_players","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:","Min. Players:",
"server_filter_full_servers","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:","Show full servers:",
"server_filter_max_ping","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:","Max. Ping:",
"server_filter_passworded","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:","Show passworded only:",
"options_game_general","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL","GENERAL",
"options_CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR","CROSSHAIR",
"options_game_camera","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA","CAMERA",
"options_game_language","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE","LANGUAGE",
"options_game_perspective","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE","PERSPECTIVE",
"options_game_gameplay","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY","GAMEPLAY",
